# t/sec, Shield/Ohm, Probe/Ohm, U/V, I/A
000, 23.5, 24.5, 15.87, 0.1532
060, 24.2, 26.8, 16, 0.1531
120, 24.9, 27.4, 16.08, 0.1533
180, 25.3, 27.9, 16.03, 0.1535
240, 25.8, 28.5, 16.12, 0.1537
300, 26.4, 29.1, 16.14, 0.1539
360, 27, 29.6, 16.16, 0.154
420, 27.6, 30.2, 16.18, 0.1542
480, 28.3, 30.7, 15.82, 0.1507
540, 29, 31.3, 15.84, 0.1509
600, 29.8, 31.8, 15.86, 0.1510
660, 30.6, 32.3, 15.87, 0.1511
720, 31.4, 32.9, 15.88, 0.1512
780, 32.2, 33.4, 15.9, 0.1513
840, 33.0, 34.0, 15.91, 0.1514
900, 33.9, 34.6, 15.92, 0.1514
960, 34.6, 35.2, 15.93, 0.1515
1020, 35.5, 35.8, 15.94, 0.1516
1080, 36.1, 36.4, 15.94, 0.1516
1140, 36.4, 36.9, 15.95, 0.1517
1200, 36.5, 37.5, 15.96, 0.1517
1260, 36.8, 28.1, 15.97, 0.1518
1320, 37.2, 38.6, 15.97, 0.1518
1380, 37.7, 39.1, 15.98, 0.1519
1440, 38.4, 39.6, 15.82, 0.1503
1500, 39.1, 40.2, 15.83, 0.1504
1560, 39.7, 40.6, 15.84, 0.1505
1620, 40.3, 41.2, 15.85, 0.1506
1680, 40.9, 41.7, 15.86, 0.1506
1740, 41.4, 42.2, 15.87, 0.1507
1800, 41.9, 42.7, 15.87, 0.1507
1860, 42.5, 43.3, 15.88, 0.1507
1920, 43.0, 43.8, 15.88, 0.1508
1980, 43.5, 44.3, 15.89, 0.1508
2040, 44.0, 44.8, 15.89, 0.1508
2100, 44.6, 45.3, 15.90, 0.1509
2160, 45.1, 45.8, 15.90, 0.1509
2220, 45.6, 46.4, 15.91, 0.1509
2280, 46.2, 46.8, 15.91, 0.1510
2340, 46.7, 47.4, 15.92, 0.1510
2400, 47.2, 47.9, 15.92, 0.1510
2460, 47.8, 48.4, 15.92, 0.1511
2520, 48.3, 48.9, 15.93, 0.1511
2580, 48.8, 49.4, 15.93, 0.1511
2640, 49.2, 49.9, 15.93, 0.1511
2700, 49.7, 50.4, 15.94, 0.1512
2760, 50.2, 50.9, 15.94, 0.1512
2820, 50.7, 51.4, 15.94, 0.1512
2880, 51.1, 51.9, 15.95, 0.1512
2940, 51.6, 52.4, 15.95, 0.1512
3000, 52.0, 52.9, 15.95, 0.1512
3060, 52.6, 53.3, 15.95, 0.1513
3120, 53.1, 53.8, 15.96, 0.1513
3180, 53.7, 54.3, 15.96, 0.1513
3240, 54.2, 54.8, 15.96, 0.1513
3300, 54.7, 55.3, 15.96, 0.1513
3360, 55.3, 55.7, 15.96, 0.1513
3420, 55.8, 56.3, 15.97, 0.1513
3480, 56.4, 56.8, 15.97, 0.1513
3540, 57.0, 57.3, 15.97, 0.1513
3600, 57.5, 57.8, 15.97, 0.1514
3660, 58.0, 58.2, 15.97, 0.1514
3720, 58.5, 58.8, 15.98, 0.1514
3780, 59.0, 59.2, 15.98, 0.1514
3840, 59.3, 59.7, 15.98, 0.1514
3900, 59.7, 60.2, 15.98, 0.1514
3960, 59.9, 60.7, 15.98, 0.1514
4020, 60.3, 61.1, 15.99, 0.1514
4080, 60.7, 61.6, 15.99, 0.1514
4140, 61.0, 62.0, 15.99, 0.1515
4200, 61.3, 62.5, 15.99, 0.1515
4260, 61.8, 63.0, 15.99, 0.1515
4320, 62.2, 63.3, 15.88, 0.1504
4380, 62.7, 63.8, 15.89, 0.1505
4440, 63.1, 64.3, 15.89, 0.1505
4500, 63.7, 64.7, 15.90, 0.1506
4560, 64.3, 65.2, 15.90, 0.1506
4620, 64.9, 65.6, 15.91, 0.1506
4680, 65.5, 66.1, 15.91, 0.1506
4740, 66.2, 66.5, 15.91, 0.1506
4800, 67.0, 67.0, 15.91, 0.1506
4860, 67.7, 67.5, 17.02, 0.1612
4920, 68.4, 68.1, 17.05, 0.1614
4980, 69.2, 68.7, 17.06, 0.1615
5040, 69.7, 69.2, 17.07, 0.1616
5100, 70.2, 69.8, 17.07, 0.1617
5160, 70.6, 70.3, 17.08, 0.1617
5220, 70.9, 70.9, 17.08, 0.1618
