#x-axis,1,2
#second,Volt,Volt
-10.00000E-03,+60.30151E-03,-621.85929E-03
-9.99000E-03,+62.81407E-03,-643.21607E-03
-9.98000E-03,+65.32663E-03,-643.21607E-03
-9.97000E-03,+80.40201E-03,-634.42210E-03
-9.96000E-03,+70.35176E-03,-603.01507E-03
-9.95000E-03,+80.40201E-03,-589.19597E-03
-9.94000E-03,+64.07035E-03,-586.68341E-03
-9.93000E-03,+80.40201E-03,-564.07035E-03
-9.92000E-03,+80.40201E-03,-582.91457E-03
-9.91000E-03,+62.81407E-03,-603.01507E-03
-9.90000E-03,+85.42713E-03,-636.93467E-03
-9.89000E-03,+91.70854E-03,-614.32160E-03
-9.88000E-03,+89.19598E-03,-633.16582E-03
-9.87000E-03,+86.68342E-03,-623.11557E-03
-9.86000E-03,+100.50251E-03,-606.78391E-03
-9.85000E-03,+100.50251E-03,-604.27135E-03
-9.84000E-03,+119.34673E-03,-582.91457E-03
-9.83000E-03,+116.83417E-03,-599.24622E-03
-9.82000E-03,+105.52764E-03,-587.93969E-03
-9.81000E-03,+108.04020E-03,-590.45225E-03
-9.80000E-03,+120.60301E-03,-603.01507E-03
-9.79000E-03,+114.32161E-03,-589.19597E-03
-9.78000E-03,+115.57789E-03,-603.01507E-03
-9.77000E-03,+120.60301E-03,-603.01507E-03
-9.76000E-03,+120.60301E-03,-582.91457E-03
-9.75000E-03,+140.70352E-03,-605.52763E-03
-9.74000E-03,+134.42211E-03,-616.83416E-03
-9.73000E-03,+140.70352E-03,-603.01507E-03
-9.72000E-03,+149.49749E-03,-592.96482E-03
-9.71000E-03,+160.80402E-03,-582.91457E-03
-9.70000E-03,+140.70352E-03,-603.01507E-03
-9.69000E-03,+158.29146E-03,-584.17085E-03
-9.68000E-03,+159.54774E-03,-582.91457E-03
-9.67000E-03,+160.80402E-03,-603.01507E-03
-9.66000E-03,+169.59799E-03,-623.11557E-03
-9.65000E-03,+160.80402E-03,-623.11557E-03
-9.64000E-03,+170.85427E-03,-611.80904E-03
-9.63000E-03,+146.98492E-03,-603.01507E-03
-9.62000E-03,+180.90452E-03,-582.91457E-03
-9.61000E-03,+178.39196E-03,-582.91457E-03
-9.60000E-03,+179.64824E-03,-582.91457E-03
-9.59000E-03,+180.90452E-03,-605.52763E-03
-9.58000E-03,+165.82914E-03,-623.11557E-03
-9.57000E-03,+188.44221E-03,-623.11557E-03
-9.56000E-03,+189.69849E-03,-621.85929E-03
-9.55000E-03,+187.18593E-03,-615.57788E-03
-9.54000E-03,+195.97990E-03,-603.01507E-03
-9.53000E-03,+198.49246E-03,-603.01507E-03
-9.52000E-03,+180.90452E-03,-601.75879E-03
-9.51000E-03,+165.82914E-03,-582.91457E-03
-9.50000E-03,+201.00502E-03,-582.91457E-03
-9.49000E-03,+188.44221E-03,-590.45225E-03
-9.48000E-03,+209.79899E-03,-603.01507E-03
-9.47000E-03,+207.28643E-03,-623.11557E-03
-9.46000E-03,+221.10553E-03,-606.78391E-03
-9.45000E-03,+218.59296E-03,-623.11557E-03
-9.44000E-03,+201.00502E-03,-621.85929E-03
-9.43000E-03,+221.10553E-03,-603.01507E-03
-9.42000E-03,+214.82412E-03,-587.93969E-03
-9.41000E-03,+221.10553E-03,-582.91457E-03
-9.40000E-03,+211.05527E-03,-603.01507E-03
-9.39000E-03,+241.20603E-03,-595.47738E-03
-9.38000E-03,+236.18090E-03,-582.91457E-03
-9.37000E-03,+238.69346E-03,-600.50251E-03
-9.36000E-03,+241.20603E-03,-603.01507E-03
-9.35000E-03,+257.53769E-03,-639.44723E-03
-9.34000E-03,+226.13065E-03,-616.83416E-03
-9.33000E-03,+241.20603E-03,-623.11557E-03
-9.32000E-03,+241.20603E-03,-611.80904E-03
-9.31000E-03,+241.20603E-03,-603.01507E-03
-9.30000E-03,+261.30653E-03,-586.68341E-03
-9.29000E-03,+241.20603E-03,-580.40200E-03
-9.28000E-03,+260.05025E-03,-582.91457E-03
-9.27000E-03,+277.63819E-03,-585.42713E-03
-9.26000E-03,+246.23115E-03,-596.73366E-03
-9.25000E-03,+281.40703E-03,-603.01507E-03
-9.24000E-03,+261.30653E-03,-623.11557E-03
-9.23000E-03,+273.86934E-03,-623.11557E-03
-9.22000E-03,+281.40703E-03,-603.01507E-03
-9.21000E-03,+281.40703E-03,-620.60301E-03
-9.20000E-03,+261.30653E-03,-621.85929E-03
-9.19000E-03,+301.50753E-03,-599.24622E-03
-9.18000E-03,+281.40703E-03,-587.93969E-03
-9.17000E-03,+281.40703E-03,-590.45225E-03
-9.16000E-03,+291.45728E-03,-603.01507E-03
-9.15000E-03,+301.50753E-03,-589.19597E-03
-9.14000E-03,+285.17588E-03,-597.98994E-03
-9.13000E-03,+282.66331E-03,-603.01507E-03
-9.12000E-03,+301.50753E-03,-623.11557E-03
-9.11000E-03,+301.50753E-03,-623.11557E-03
-9.10000E-03,+301.50753E-03,-643.21607E-03
-9.09000E-03,+312.81407E-03,-614.32160E-03
-9.08000E-03,+310.30150E-03,-623.11557E-03
-9.07000E-03,+321.60804E-03,-603.01507E-03
-9.06000E-03,+321.60804E-03,-586.68341E-03
-9.05000E-03,+322.86432E-03,-580.40200E-03
-9.04000E-03,+301.50753E-03,-582.91457E-03
-9.03000E-03,+321.60804E-03,-599.24622E-03
-9.02000E-03,+341.70854E-03,-603.01507E-03
-9.01000E-03,+341.70854E-03,-623.11557E-03
-9.00000E-03,+331.65829E-03,-643.21607E-03
-8.99000E-03,+321.60804E-03,-629.39698E-03
-8.98000E-03,+341.70854E-03,-623.11557E-03
-8.97000E-03,+341.70854E-03,-584.17085E-03
-8.96000E-03,+341.70854E-03,-582.91457E-03
-8.95000E-03,+341.70854E-03,-579.14572E-03
-8.94000E-03,+355.52763E-03,-582.91457E-03
-8.93000E-03,+369.34673E-03,-603.01507E-03
